일자,"2013년
15.5 ℃
12.9 톤
PCC -0.543
온도 (℃)","2014년
16.2 ℃
10.8 톤
PCC -0.544
온도 (℃)","2015년
18.5 ℃
18.9 톤
PCC -0.417
온도 (℃)","2016년
16.2 ℃
14.8 톤
PCC -0.559
온도 (℃)","2017년
15.4 ℃
10.5 톤
PCC -0.645
온도 (℃)","2018년
10.9 ℃
14.8 톤
PCC -0.553
온도 (℃)","2019년
15.7 ℃
17.9 톤
PCC -0.661
온도 (℃)","2020년
13.2 ℃
12.8 톤
PCC -0.678
온도 (℃)","2021년
10.9 ℃
11.9 톤
PCC -0.611
온도 (℃)","2022년
8.7 ℃
12.1 톤
PCC -0.594
온도 (℃)","2013년
15.5 ℃
12.9 톤
PCC -0.543
거래물량 (톤)","2014년
16.2 ℃
10.8 톤
PCC -0.544
거래물량 (톤)","2015년
18.5 ℃
18.9 톤
PCC -0.417
거래물량 (톤)","2016년
16.2 ℃
14.8 톤
PCC -0.559
거래물량 (톤)","2017년
15.4 ℃
10.5 톤
PCC -0.645
거래물량 (톤)","2018년
10.9 ℃
14.8 톤
PCC -0.553
거래물량 (톤)","2019년
15.7 ℃
17.9 톤
PCC -0.661
거래물량 (톤)","2020년
13.2 ℃
12.8 톤
PCC -0.678
거래물량 (톤)","2021년
10.9 ℃
11.9 톤
PCC -0.611
거래물량 (톤)","2022년
8.7 ℃
12.1 톤
PCC -0.594
거래물량 (톤)"
20220216,0.6,2.45,5.95,-0.35,3.35,1.7,1,6.55,3.15,-1.3,15.424,13.368,16.02,40.664,14.218,0.132,19.254,1.22,22.648,13.909
20220217,0.2,4.4,6.4,1.5,6,0.1,0.2,0.9,-1.55,-3.8,15.656,14.084,18.642,44.66,14.868,,22.272,27.676,23.7655,12.2905
20220218,1.45,4.05,4.2,2.55,3.4,0.8,0.55,-0.25,-3.7,-2.25,14.064,15.832,21.264,25.264,17.49,,22.952,25.874,23.7715,24.412
20220219,1.15,2.75,3.45,4.25,1.35,3.75,2.5,1.95,-1,1.65,14.104,17.106,,17.72,18.904,17.468,22.492,26.815,14.0985,14.3725
20220220,-0.3,1.85,4.45,4.75,3.65,3.75,4.15,4.75,5.15,0.25,14.232,8.4285,,43.33,16.676,18.49,11.67,17.219,3.3465,2.104
20220221,0,0.6,6.9,3.05,2.8,1.85,4.5,8.05,10,-1.4,8.48,6.2765,,52.104,17.768,18.316,11.488,16.234,2.594,21.788
20220222,1.15,0.95,7.2,2.05,3.55,0.75,5,8.6,9.75,-0.5,7.648,13.59,,33.164,18.07,16.154,20.827,28.174,26.45,21.167
20220223,1.05,2.5,5.25,3.15,4.25,1.55,5.45,6.05,6.05,-1.4,15.248,14.852,17.108,17.162,18.114,16.9,20.174,28.76,25.002,21.204
20220224,0.85,4.05,4.9,1.05,1.55,3.9,6.6,5.7,3.2,-2.05,17.84,15.714,17.373,14.604,18.686,10.102,20.362,25.732,24.522,11.7445
20220225,2.75,5.45,5.2,-1,1.6,5,6.55,9.65,3.65,-2.95,7.531,16.7325,17.701,26.514,18.716,1.592,25.792,26.654,13.968,12.5575
20220226,5.2,6.4,4.5,0.9,2.45,4.05,4.8,10.6,7.05,0.15,9.5215,17.0915,16.984,26.062,19.008,20.844,25.559,28.476,14.258,12.925
20220227,7.25,7.75,2.1,4.6,2.65,3.7,5.8,8,8.8,4.15,12.43,18.02,15.918,19.17,16.374,20.63,24.604,16.434,25.678,2.362
20220228,8.3,7.65,1.5,7.5,2.95,5.85,7.5,6.85,8.35,4.35,13.128,19.568,8.344,11.196,18.641,21.126,22.913,16.15,25.286,24.399
20220229,,,,3.55,,,,7.45,,,,,,26.372,,,,28.918,,
20220301,6.95,6.6,3.05,0,5.6,5.35,6.6,7.1,10.05,5.6,14.063,22.399,1.056,28.076,21.149,11.238,22.343,29.028,25.428,26.8145
20220302,3.3,5,3.65,1.65,5.8,3.05,7,5.85,8.35,5.15,14.843,25.27,28.214,28.7895,21.182,11.73,24.518,26.532,25.5105,29.799
20220303,0.6,4.9,4.3,5.05,3,5,9.2,6.9,5,3.85,14.468,17.286,28.663,28.749,20.769,22.82,26.294,26.732,26.523,17.103
20220304,1.9,4.9,3.25,9.25,4.1,10.1,9.05,6.85,5.7,6.3,16.36,20.759,33.668,31.615,21.766,,26.778,29.552,15.668,15.2165
20220305,3.75,3.9,1.6,12.45,7.1,11.05,7.95,4.65,7.95,7.2,17.216,24.534,19.136,33.6125,22.968,24.264,28.476,17.372,13.5475,27.768
20220306,5.45,1.85,3.5,12.55,6.15,8.55,8.35,3.45,9.1,4.3,17.606,22.63,13.342,33.694,21.744,24.477,28.566,16.93,25.9355,28.941
20220307,7.75,1.65,5.55,11,1.35,6.8,7.65,3.75,8.55,3.4,16.8,20.503,28.9295,35.761,23.572,24.064,26.868,30.582,28.659,25.908
20220308,9.55,1.5,6.25,7.95,0.85,4.85,5.3,6.25,8.15,4.3,17.354,21.599,31.223,36.7685,24.712,24.688,26.743,29.876,31.006,26.577
20220309,11.65,1.35,5.1,4.5,4.15,3.85,5.65,8.1,7.8,5.9,18.759,22.616,28.294,37.794,24.252,25.178,26.802,28.922,29.984,27.8105
20220310,9.3,1.4,1.55,2.45,5.5,4,7.75,7.65,8.65,9.25,19.27,18.812,28.995,38.001,25.53,27.616,26.896,29.25,30.792,15.3655
20220311,5.9,2.15,0.95,0.8,5.3,4.75,7.4,6.4,9.7,12.1,18.026,21.635,28.672,37.351,28.147,30.814,31.194,31.363,18.289,15.851
20220312,7.1,4.25,2.75,1.25,6.6,7.9,6.2,5.45,9.65,14.3,17.901,23.695,13.917,39.467,29.714,30.27,30.519,18.3515,18.165,29.7095
20220313,8.3,5.2,3.7,2.9,7.85,10.45,5.45,6,8.7,15.5,18.492,25.4545,14.792,42.422,25.464,30.725,30.106,17.1205,33.1365,30.073
20220314,6.9,4.7,4.45,3.8,6.45,12.5,4.85,6.4,7.7,13.75,17.961,24.847,31.4535,40.63,26.813,30.967,29.091,31.757,33.899,29.955
20220315,5.6,4.8,5.5,4.4,4.7,13.85,5.9,6.75,8.9,10.45,17.895,24.0075,33.509,43.321,28.048,31.578,28.441,32.828,36.531,30.36
20220316,6.55,7.15,9.05,6.85,4.55,10.35,6.9,6.2,10.5,9.5,20.528,26.298,30.85,45.992,28.193,32.947,30.461,33.318,36.445,31.9425
20220317,7.25,10.1,11.9,9.15,4.85,7.3,7,6.8,9.75,10.45,21.98,21.429,34.037,46.676,29.504,35.221,31.854,32.117,37.396,17.9125
